Country,Survey,Characteristic,Median age at first sexual intercourse [Women]: 20-24,Median age at first sexual intercourse [Women]: 25-29,Median age at first sexual intercourse [Women]: 20-49,Median age at first sexual intercourse [Women]: 25-49,level,area,age
Burundi,2016-17 DHS,Total,20,19.6,19.7,19.6,0,Burundi,Y010_Y014
Burundi,2016-17 DHS,Total,20,19.6,19.7,19.6,0,Burundi,Y015_Y019
Burundi,2016-17 DHS,Total,20,19.6,19.7,19.6,0,Burundi,Y020_Y024
Burundi,2016-17 DHS,Total,20,19.6,19.7,19.6,0,Burundi,Y025_Y029
Burundi,2016-17 DHS,Provinces : Bujumbura Mairie (L1),,21.1,,20.5,1,Bujumbura Mairie,Y010_Y014
Burundi,2016-17 DHS,Provinces : Bujumbura Mairie (L1),,21.1,,20.5,1,Bujumbura Mairie,Y015_Y019
Burundi,2016-17 DHS,Provinces : Bujumbura Mairie (L1),,21.1,,20.5,1,Bujumbura Mairie,Y020_Y024
Burundi,2016-17 DHS,Provinces : Bujumbura Mairie (L1),,21.1,,20.5,1,Bujumbura Mairie,Y025_Y029
Burundi,2016-17 DHS,Provinces : Bujumbura Mairie (L1),,21.1,,20.5,2,Bujumbura Centre,Y010_Y014
Burundi,2016-17 DHS,Provinces : Bujumbura Mairie (L1),,21.1,,20.5,2,Bujumbura Centre,Y015_Y019
Burundi,2016-17 DHS,Provinces : Bujumbura Mairie (L1),,21.1,,20.5,2,Bujumbura Centre,Y020_Y024
Burundi,2016-17 DHS,Provinces : Bujumbura Mairie (L1),,21.1,,20.5,2,Bujumbura Centre,Y025_Y029
Burundi,2016-17 DHS,Provinces : Bujumbura Mairie (L1),,21.1,,20.5,2,Bujumbura Nord,Y010_Y014
Burundi,2016-17 DHS,Provinces : Bujumbura Mairie (L1),,21.1,,20.5,2,Bujumbura Nord,Y015_Y019
Burundi,2016-17 DHS,Provinces : Bujumbura Mairie (L1),,21.1,,20.5,2,Bujumbura Nord,Y020_Y024
Burundi,2016-17 DHS,Provinces : Bujumbura Mairie (L1),,21.1,,20.5,2,Bujumbura Nord,Y025_Y029
Burundi,2016-17 DHS,Provinces : Bujumbura Mairie (L1),,21.1,,20.5,2,Bujumbura Sud,Y010_Y014
Burundi,2016-17 DHS,Provinces : Bujumbura Mairie (L1),,21.1,,20.5,2,Bujumbura Sud,Y015_Y019
