Survey,Characteristic,Median age at first sexual intercourse [Women]: 20-24,Median age at first sexual intercourse [Women]: 25-29,Median age at first sexual intercourse [Women]: 20-49,Median age at first sexual intercourse [Women]: 25-49,level,area,age
2018 DHS,Total,17.5,17.3,17.1,17,0,Cameroon,Y010_Y014
2018 DHS,Total,17.5,17.3,17.1,17,0,Cameroon,Y015_Y019
2018 DHS,Total,17.5,17.3,17.1,17,0,Cameroon,Y020_Y024
2018 DHS,Total,17.5,17.3,17.1,17,0,Cameroon,Y025_Y029
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,1,Adamaoua,Y010_Y014
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,1,Adamaoua,Y015_Y019
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,1,Adamaoua,Y020_Y024
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,1,Adamaoua,Y025_Y029
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,2,Adamaoua,Y010_Y014
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,2,Adamaoua,Y015_Y019
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,2,Adamaoua,Y020_Y024
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,2,Adamaoua,Y025_Y029
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Bankim,Y010_Y014
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Bankim,Y015_Y019
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Bankim,Y020_Y024
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Bankim,Y025_Y029
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Banyo,Y010_Y014
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Banyo,Y015_Y019
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Banyo,Y020_Y024
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Banyo,Y025_Y029
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Dang,Y010_Y014
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Dang,Y015_Y019
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Dang,Y020_Y024
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Dang,Y025_Y029
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Djohong,Y010_Y014
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Djohong,Y015_Y019
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Djohong,Y020_Y024
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Djohong,Y025_Y029
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Meiganga,Y010_Y014
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Meiganga,Y015_Y019
2018 DHS,Provinces : Adamaoua (L1),16.7,16.7,16.6,16.6,3,Meiganga,Y020_Y024
