"","area","age","mean","lower_ART","upper_ART","inc","lower_inc","upper_inc","level","prev","lower_prev","upper_prev","country","sex"
"1","!karas","Y010_014",0.841072292814024,0.732062948853041,0.916134256362588,0,0,0,1,0.00900565142667759,0.0073570573588092,0.0108296218568003,"NAM","female"
"2","!karas","Y015_019",0.939869389922859,0.788508704578689,0.996253581870261,0.00405722221530608,0.00376113512776243,0.00437212418482489,1,0.0271287083711022,0.0232841134585452,0.0312981545422729,"NAM","female"
"3","!karas","Y020_024",0.899649238849851,0.657369762689462,0.993704136718757,0.00512921721758221,0.00481272474649101,0.0054485086060158,1,0.0491272758955883,0.0430799925930392,0.0563696158691231,"NAM","female"
"4","!karas","Y025_029",0.919110227471178,0.713523162947704,0.994059491612347,0.00452529456369809,0.00425356958143949,0.00480106622260741,1,0.0635340048499737,0.0561128478998429,0.0717397961087453,"NAM","female"
"5","!nami#nus","Y010_014",0.756578510715078,0.444829058366881,0.933973298385899,0,0,0,2,0.0097033044224183,0.00619092508624848,0.0141008342609843,"NAM","female"
"6","!nami#nus","Y015_019",0.941975816451248,0.781556159984226,0.997344448158542,0.00541391600484333,0.00412521979545765,0.0068396676588725,2,0.033693202163521,0.0233200509576845,0.0456925494916055,"NAM","female"
"7","!nami#nus","Y020_024",0.904159745667448,0.683861151693881,0.995455063999218,0.00657559551572199,0.00501066536193578,0.0083067515155559,2,0.0702628465323792,0.05174574764962,0.0931453820866838,"NAM","female"
"8","!nami#nus","Y025_029",0.923233667958789,0.722689580124886,0.995813872743296,0.00568612225395492,0.00433268632371474,0.00718345906283519,2,0.0809686146645148,0.05889353072649,0.107404238983543,"NAM","female"
"9","A Nzo Dm","Y010_014",0.871541211716761,0.754040267432736,0.940904026257959,0.000169484582608071,0.000132299248668976,0.000213486540538586,2,0.0166526756372036,0.0126445730262021,0.0216258456782716,"ZAF","female"
"10","A Nzo Dm","Y015_019",0.554041399904214,0.434890161126998,0.671996680273803,0.0109569666444086,0.0074945627584412,0.0149995241167042,2,0.0458377616775877,0.036494468570628,0.0566423078768643,"ZAF","female"
"11","A Nzo Dm","Y020_024",0.590041086976829,0.485258044002903,0.687530814125624,0.0164002593130441,0.011207583258277,0.0224749714220408,2,0.133472687815093,0.104959954113172,0.16436518857234,"ZAF","female"
"12","A Nzo Dm","Y025_029",0.75037390006417,0.666861191817894,0.82224188221381,0.0108405507349219,0.00741567719436862,0.0148384211545702,2,0.222307384663204,0.182384978172734,0.266306262865963,"ZAF","female"
"13","Abengourou","Y010_014",0.369037839708559,0.222389073170181,0.534697563341376,0,0,0,2,0.00282085939774367,0.00185216121396792,0.00423297226595484,"CIV","female"
"14","Abengourou","Y015_019",0.881067737720276,0.754988201469849,0.950756610678527,0.000387231009511904,0.000264382004112234,0.000545441907478422,2,0.00541297402292393,0.0036573539346512,0.00786011298276836,"CIV","female"
"15","Abengourou","Y020_024",0.749280245833543,0.55884711664223,0.872324473756987,0.000636875656004524,0.000434804924141059,0.000897142233288134,2,0.0119639685174727,0.00756104053804308,0.0182007540015983,"CIV","female"
"16","Abengourou","Y025_029",0.875877419695297,0.776507827852572,0.939917261307551,0.000695383810138936,0.000474743731156563,0.000979575356313478,2,0.011966632569314,0.00773851884782615,0.0178016859850716,"CIV","female"
"17","Abidjan 1","Y010_014",0.326262026777838,0.239161135730018,0.422319263372801,0,0,0,1,0.00472134225446563,0.00388164012149692,0.00556485766770627,"CIV","female"
