Survey,Characteristic,Median age at first sexual intercourse [Women]: 20-24,Median age at first sexual intercourse [Women]: 25-29,Median age at first sexual intercourse [Women]: 20-49,Median age at first sexual intercourse [Women]: 25-49,level,area,age
2011-12 DHS,Total,16.3,16.4,16.3,16.2,0,Congo,Y010_Y014
2011-12 DHS,Total,16.3,16.4,16.3,16.2,0,Congo,Y015_Y019
2011-12 DHS,Total,16.3,16.4,16.3,16.2,0,Congo,Y020_Y024
2011-12 DHS,Total,16.3,16.4,16.3,16.2,0,Congo,Y025_Y029
2011-12 DHS,Pool-brazzaville,,,,,1,Pool-brazzaville,Y010_Y014
2011-12 DHS,Pool-brazzaville,,,,,1,Pool-brazzaville,Y015_Y019
2011-12 DHS,Pool-brazzaville,,,,,1,Pool-brazzaville,Y020_Y024
2011-12 DHS,Pool-brazzaville,,,,,1,Pool-brazzaville,Y025_Y029
2011-12 DHS,Departments : Brazzaville 2009 (L1),16.7,17,16.8,16.8,2,Brazzaville,Y010_Y014
2011-12 DHS,Departments : Brazzaville 2009 (L1),16.7,17,16.8,16.8,2,Brazzaville,Y015_Y019
2011-12 DHS,Departments : Brazzaville 2009 (L1),16.7,17,16.8,16.8,2,Brazzaville,Y020_Y024
2011-12 DHS,Departments : Brazzaville 2009 (L1),16.7,17,16.8,16.8,2,Brazzaville,Y025_Y029
2011-12 DHS,Pointe-noire-kouilou,,,,,1,Pointe-noire-kouilou,Y010_Y014
2011-12 DHS,Pointe-noire-kouilou,,,,,1,Pointe-noire-kouilou,Y015_Y019
2011-12 DHS,Pointe-noire-kouilou,,,,,1,Pointe-noire-kouilou,Y020_Y024
2011-12 DHS,Pointe-noire-kouilou,,,,,1,Pointe-noire-kouilou,Y025_Y029
2011-12 DHS,Departments : Pointe-Noire 2009 (L1),16.5,16.5,16.5,16.5,2,Pointe-noire,Y010_Y014
2011-12 DHS,Departments : Pointe-Noire 2009 (L1),16.5,16.5,16.5,16.5,2,Pointe-noire,Y015_Y019
2011-12 DHS,Departments : Pointe-Noire 2009 (L1),16.5,16.5,16.5,16.5,2,Pointe-noire,Y020_Y024
2011-12 DHS,Departments : Pointe-Noire 2009 (L1),16.5,16.5,16.5,16.5,2,Pointe-noire,Y025_Y029
2011-12 DHS,Departments : Kouilou (L1),15.2,15.5,15.3,15.3,2,Kouilou,Y010_Y014
2011-12 DHS,Departments : Kouilou (L1),15.2,15.5,15.3,15.3,2,Kouilou,Y015_Y019
2011-12 DHS,Departments : Kouilou (L1),15.2,15.5,15.3,15.3,2,Kouilou,Y020_Y024
2011-12 DHS,Departments : Kouilou (L1),15.2,15.5,15.3,15.3,2,Kouilou,Y025_Y029
2011-12 DHS,Departments : Niari (L1),15.6,15.8,15.7,15.7,1,Niari,Y010_Y014
2011-12 DHS,Departments : Niari (L1),15.6,15.8,15.7,15.7,1,Niari,Y015_Y019
2011-12 DHS,Departments : Niari (L1),15.6,15.8,15.7,15.7,1,Niari,Y020_Y024
2011-12 DHS,Departments : Niari (L1),15.6,15.8,15.7,15.7,1,Niari,Y025_Y029
2011-12 DHS,Departments : Niari (L1),15.6,15.8,15.7,15.7,2,Niari,Y010_Y014
2011-12 DHS,Departments : Niari (L1),15.6,15.8,15.7,15.7,2,Niari,Y015_Y019
2011-12 DHS,Departments : Niari (L1),15.6,15.8,15.7,15.7,2,Niari,Y020_Y024
2011-12 DHS,Departments : Niari (L1),15.6,15.8,15.7,15.7,2,Niari,Y025_Y029
2011-12 DHS,Departments : Lékoumou (L1),15.6,15.8,15.6,15.6,1,Lékoumou,Y010_Y014
2011-12 DHS,Departments : Lékoumou (L1),15.6,15.8,15.6,15.6,1,Lékoumou,Y015_Y019
2011-12 DHS,Departments : Lékoumou (L1),15.6,15.8,15.6,15.6,1,Lékoumou,Y020_Y024
2011-12 DHS,Departments : Lékoumou (L1),15.6,15.8,15.6,15.6,1,Lékoumou,Y025_Y029
2011-12 DHS,Departments : Lékoumou (L1),15.6,15.8,15.6,15.6,2,Lékoumou,Y010_Y014
2011-12 DHS,Departments : Lékoumou (L1),15.6,15.8,15.6,15.6,2,Lékoumou,Y015_Y019
2011-12 DHS,Departments : Lékoumou (L1),15.6,15.8,15.6,15.6,2,Lékoumou,Y020_Y024
2011-12 DHS,Departments : Lékoumou (L1),15.6,15.8,15.6,15.6,2,Lékoumou,Y025_Y029
2011-12 DHS,Departments : Bouénza (L1),16,16.3,15.8,15.8,1,Bouénza,Y010_Y014
2011-12 DHS,Departments : Bouénza (L1),16,16.3,15.8,15.8,1,Bouénza,Y015_Y019
2011-12 DHS,Departments : Bouénza (L1),16,16.3,15.8,15.8,1,Bouénza,Y020_Y024
2011-12 DHS,Departments : Bouénza (L1),16,16.3,15.8,15.8,1,Bouénza,Y025_Y029
2011-12 DHS,Departments : Bouénza (L1),16,16.3,15.8,15.8,2,Bouénza,Y010_Y014
2011-12 DHS,Departments : Bouénza (L1),16,16.3,15.8,15.8,2,Bouénza,Y015_Y019
2011-12 DHS,Departments : Bouénza (L1),16,16.3,15.8,15.8,2,Bouénza,Y020_Y024
2011-12 DHS,Departments : Bouénza (L1),16,16.3,15.8,15.8,2,Bouénza,Y025_Y029
2011-12 DHS,Departments : Pool (L1),15.5,15.8,15.7,15.7,2,Pool,Y010_Y014
2011-12 DHS,Departments : Pool (L1),15.5,15.8,15.7,15.7,2,Pool,Y015_Y019
2011-12 DHS,Departments : Pool (L1),15.5,15.8,15.7,15.7,2,Pool,Y020_Y024
2011-12 DHS,Departments : Pool (L1),15.5,15.8,15.7,15.7,2,Pool,Y025_Y029
2011-12 DHS,Departments : Plateaux (L1),15.3,15.5,15.5,15.5,1,Plateaux,Y010_Y014
2011-12 DHS,Departments : Plateaux (L1),15.3,15.5,15.5,15.5,1,Plateaux,Y015_Y019
2011-12 DHS,Departments : Plateaux (L1),15.3,15.5,15.5,15.5,1,Plateaux,Y020_Y024
2011-12 DHS,Departments : Plateaux (L1),15.3,15.5,15.5,15.5,1,Plateaux,Y025_Y029
2011-12 DHS,Departments : Plateaux (L1),15.3,15.5,15.5,15.5,2,Plateaux,Y010_Y014
2011-12 DHS,Departments : Plateaux (L1),15.3,15.5,15.5,15.5,2,Plateaux,Y015_Y019
2011-12 DHS,Departments : Plateaux (L1),15.3,15.5,15.5,15.5,2,Plateaux,Y020_Y024
2011-12 DHS,Departments : Plateaux (L1),15.3,15.5,15.5,15.5,2,Plateaux,Y025_Y029
2011-12 DHS,Departments : Cuvette (L1),15.5,15.5,15.5,15.5,1,Cuvette,Y010_Y014
2011-12 DHS,Departments : Cuvette (L1),15.5,15.5,15.5,15.5,1,Cuvette,Y015_Y019
2011-12 DHS,Departments : Cuvette (L1),15.5,15.5,15.5,15.5,1,Cuvette,Y020_Y024
2011-12 DHS,Departments : Cuvette (L1),15.5,15.5,15.5,15.5,1,Cuvette,Y025_Y029
2011-12 DHS,Departments : Cuvette (L1),15.5,15.5,15.5,15.5,2,Cuvette,Y010_Y014
2011-12 DHS,Departments : Cuvette (L1),15.5,15.5,15.5,15.5,2,Cuvette,Y015_Y019
2011-12 DHS,Departments : Cuvette (L1),15.5,15.5,15.5,15.5,2,Cuvette,Y020_Y024
2011-12 DHS,Departments : Cuvette (L1),15.5,15.5,15.5,15.5,2,Cuvette,Y025_Y029
