DHS area,Age at First Sexual Experience: Women age 20-49,Age at First Sexual Experience: Women age 25-49,country,level,area,age
Coast,,,KEN,1,Coast,Y010_014
Coast,,,KEN,1,Coast,Y015_019
Coast,,,KEN,1,Coast,Y020_024
Coast,,,KEN,1,Coast,Y025_029
North Eastern,,,KEN,1,North Eastern,Y010_014
North Eastern,,,KEN,1,North Eastern,Y015_019
North Eastern,,,KEN,1,North Eastern,Y020_024
North Eastern,,,KEN,1,North Eastern,Y025_029
Eastern,,,KEN,1,Eastern,Y010_014
Eastern,,,KEN,1,Eastern,Y015_019
Eastern,,,KEN,1,Eastern,Y020_024
Eastern,,,KEN,1,Eastern,Y025_029
Central,,,KEN,1,Central,Y010_014
Central,,,KEN,1,Central,Y015_019
Central,,,KEN,1,Central,Y020_024
Central,,,KEN,1,Central,Y025_029
Rift Valley,,,KEN,1,Rift Valley,Y010_014
Rift Valley,,,KEN,1,Rift Valley,Y015_019
Rift Valley,,,KEN,1,Rift Valley,Y020_024
Rift Valley,,,KEN,1,Rift Valley,Y025_029
Western,,,KEN,1,Western,Y010_014
Western,,,KEN,1,Western,Y015_019
Western,,,KEN,1,Western,Y020_024
Western,,,KEN,1,Western,Y025_029
Nyanza,,,KEN,1,Nyanza,Y010_014
Nyanza,,,KEN,1,Nyanza,Y015_019
Nyanza,,,KEN,1,Nyanza,Y020_024
Nyanza,,,KEN,1,Nyanza,Y025_029
Nairobi,19,18.9,KEN,1,Nairobi,Y010_014
Nairobi,19,18.9,KEN,1,Nairobi,Y015_019
Nairobi,19,18.9,KEN,1,Nairobi,Y020_024
Nairobi,19,18.9,KEN,1,Nairobi,Y025_029
Mombasa,19.7,19.6,KEN,2,Mombasa,Y010_014
Mombasa,19.7,19.6,KEN,2,Mombasa,Y015_019
Mombasa,19.7,19.6,KEN,2,Mombasa,Y020_024
Mombasa,19.7,19.6,KEN,2,Mombasa,Y025_029
Kwale,18.1,17.4,KEN,2,Kwale,Y010_014
Kwale,18.1,17.4,KEN,2,Kwale,Y015_019
Kwale,18.1,17.4,KEN,2,Kwale,Y020_024
Kwale,18.1,17.4,KEN,2,Kwale,Y025_029
Kilifi,18.3,17.9,KEN,2,Kilifi,Y010_014
Kilifi,18.3,17.9,KEN,2,Kilifi,Y015_019
Kilifi,18.3,17.9,KEN,2,Kilifi,Y020_024
Kilifi,18.3,17.9,KEN,2,Kilifi,Y025_029
Tana River,17.7,17.4,KEN,2,Tana River,Y010_014
Tana River,17.7,17.4,KEN,2,Tana River,Y015_019
Tana River,17.7,17.4,KEN,2,Tana River,Y020_024
Tana River,17.7,17.4,KEN,2,Tana River,Y025_029
Lamu,18.5,18.4,KEN,2,Lamu,Y010_014
Lamu,18.5,18.4,KEN,2,Lamu,Y015_019
Lamu,18.5,18.4,KEN,2,Lamu,Y020_024
Lamu,18.5,18.4,KEN,2,Lamu,Y025_029
Taita/Taveta,18.6,18.6,KEN,2,Taita-taveta,Y010_014
Taita/Taveta,18.6,18.6,KEN,2,Taita-taveta,Y015_019
Taita/Taveta,18.6,18.6,KEN,2,Taita-taveta,Y020_024
Taita/Taveta,18.6,18.6,KEN,2,Taita-taveta,Y025_029
Garissa,17.7,17.1,KEN,2,Garissa,Y010_014
Garissa,17.7,17.1,KEN,2,Garissa,Y015_019
Garissa,17.7,17.1,KEN,2,Garissa,Y020_024
Garissa,17.7,17.1,KEN,2,Garissa,Y025_029
Wajir,17.7,17.4,KEN,2,Wajir,Y010_014
Wajir,17.7,17.4,KEN,2,Wajir,Y015_019
Wajir,17.7,17.4,KEN,2,Wajir,Y020_024
Wajir,17.7,17.4,KEN,2,Wajir,Y025_029
Mandera,18.1,17.8,KEN,2,Mandera,Y010_014
Mandera,18.1,17.8,KEN,2,Mandera,Y015_019
Mandera,18.1,17.8,KEN,2,Mandera,Y020_024
Mandera,18.1,17.8,KEN,2,Mandera,Y025_029
Marsabit,18.2,18.2,KEN,2,Marsabit,Y010_014
Marsabit,18.2,18.2,KEN,2,Marsabit,Y015_019
Marsabit,18.2,18.2,KEN,2,Marsabit,Y020_024
Marsabit,18.2,18.2,KEN,2,Marsabit,Y025_029
Isiolo,18.6,18.4,KEN,2,Isiolo,Y010_014
Isiolo,18.6,18.4,KEN,2,Isiolo,Y015_019
Isiolo,18.6,18.4,KEN,2,Isiolo,Y020_024
Isiolo,18.6,18.4,KEN,2,Isiolo,Y025_029
Meru,17.9,17.8,KEN,2,Meru,Y010_014
Meru,17.9,17.8,KEN,2,Meru,Y015_019
Meru,17.9,17.8,KEN,2,Meru,Y020_024
Meru,17.9,17.8,KEN,2,Meru,Y025_029
Tharaka-Nithi,19.1,18.9,KEN,2,Tharaka-nithi,Y010_014
Tharaka-Nithi,19.1,18.9,KEN,2,Tharaka-nithi,Y015_019
Tharaka-Nithi,19.1,18.9,KEN,2,Tharaka-nithi,Y020_024
Tharaka-Nithi,19.1,18.9,KEN,2,Tharaka-nithi,Y025_029
Embu,18.6,18.6,KEN,2,Embu,Y010_014
Embu,18.6,18.6,KEN,2,Embu,Y015_019
Embu,18.6,18.6,KEN,2,Embu,Y020_024
Embu,18.6,18.6,KEN,2,Embu,Y025_029
Kitui,18.2,18,KEN,2,Kitui,Y010_014
Kitui,18.2,18,KEN,2,Kitui,Y015_019
Kitui,18.2,18,KEN,2,Kitui,Y020_024
Kitui,18.2,18,KEN,2,Kitui,Y025_029
Machakos,18.5,18.3,KEN,2,Machakos,Y010_014
