country,Survey,Characteristic,Median age at first sexual intercourse [Women]: 20-24,Median age at first sexual intercourse [Women]: 25-29,Median age at first sexual intercourse [Women]: 20-49,Median age at first sexual intercourse [Women]: 25-49,level,area,age
Togo,2013-14 DHS,Total,18.2,18.1,18.2,18.2,0,Togo,Y010_Y014
Togo,2013-14 DHS,Total,18.2,18.1,18.2,18.2,0,Togo,Y015_Y019
Togo,2013-14 DHS,Total,18.2,18.1,18.2,18.2,0,Togo,Y020_Y024
Togo,2013-14 DHS,Total,18.2,18.1,18.2,18.2,0,Togo,Y025_Y029
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,1,Maritime,Y010_Y014
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,1,Maritime,Y015_Y019
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,1,Maritime,Y020_Y024
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,1,Maritime,Y025_Y029
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,1,Maritime,Y010_Y014
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,1,Maritime,Y015_Y019
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,1,Maritime,Y020_Y024
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,1,Maritime,Y025_Y029
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Ave,Y010_Y014
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Ave,Y015_Y019
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Ave,Y020_Y024
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Ave,Y025_Y029
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Bas-mono,Y010_Y014
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Bas-mono,Y015_Y019
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Bas-mono,Y020_Y024
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Bas-mono,Y025_Y029
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Lacs,Y010_Y014
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Lacs,Y015_Y019
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Lacs,Y020_Y024
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Lacs,Y025_Y029
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Vo,Y010_Y014
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Vo,Y015_Y019
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Vo,Y020_Y024
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Vo,Y025_Y029
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Yoto,Y010_Y014
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Yoto,Y015_Y019
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Yoto,Y020_Y024
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Yoto,Y025_Y029
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Zio,Y010_Y014
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Zio,Y015_Y019
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Zio,Y020_Y024
Togo,2013-14 DHS,Regions : Maritime (L1),18.1,18.1,18.1,18.1,2,Zio,Y025_Y029
Togo,2013-14 DHS,Regions : Lomé (L1),18.7,18.8,18.8,18.8,1,Lomé,Y010_Y014
Togo,2013-14 DHS,Regions : Lomé (L1),18.7,18.8,18.8,18.8,1,Lomé,Y015_Y019
Togo,2013-14 DHS,Regions : Lomé (L1),18.7,18.8,18.8,18.8,1,Lomé,Y020_Y024
Togo,2013-14 DHS,Regions : Lomé (L1),18.7,18.8,18.8,18.8,1,Lomé,Y025_Y029
Togo,2013-14 DHS,Regions : Lomé (L1),18.7,18.8,18.8,18.8,2,Golfe,Y010_Y014
Togo,2013-14 DHS,Regions : Lomé (L1),18.7,18.8,18.8,18.8,2,Golfe,Y015_Y019
Togo,2013-14 DHS,Regions : Lomé (L1),18.7,18.8,18.8,18.8,2,Golfe,Y020_Y024
Togo,2013-14 DHS,Regions : Lomé (L1),18.7,18.8,18.8,18.8,2,Golfe,Y025_Y029
Togo,2013-14 DHS,Regions : Lomé (L1),18.7,18.8,18.8,18.8,2,Agoe Nyive,Y010_Y014
Togo,2013-14 DHS,Regions : Lomé (L1),18.7,18.8,18.8,18.8,2,Agoe Nyive,Y015_Y019
Togo,2013-14 DHS,Regions : Lomé (L1),18.7,18.8,18.8,18.8,2,Agoe Nyive,Y020_Y024
Togo,2013-14 DHS,Regions : Lomé (L1),18.7,18.8,18.8,18.8,2,Agoe Nyive,Y025_Y029
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,1,Plateaux,Y010_Y014
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,1,Plateaux,Y015_Y019
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,1,Plateaux,Y020_Y024
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,1,Plateaux,Y025_Y029
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,2,Agou,Y010_Y014
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,2,Agou,Y015_Y019
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,2,Agou,Y020_Y024
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,2,Agou,Y025_Y029
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,2,Akebou,Y010_Y014
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,2,Akebou,Y015_Y019
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,2,Akebou,Y020_Y024
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,2,Akebou,Y025_Y029
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,2,Amou,Y010_Y014
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,2,Amou,Y015_Y019
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,2,Amou,Y020_Y024
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,2,Amou,Y025_Y029
Togo,2013-14 DHS,Regions : Plateaux (L1),17.6,17,17.5,17.5,2,Anie,Y010_Y014
